Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:2005
7586c9a6-73db-5ab2-8f23-71a3cc4bae62,,ACT-RHD:q_aortic_stenosis,Aortic Stenosis,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
a844b962-e030-598c-b1cf-00518f58b331,true,ACT-RHD:q_blood_pressure,Blood Pressure,,replaced by separate systolic/diastolic questions,Question,Text,,,
0734567e-4f0a-5090-9d74-b953921a30e6,,ACT-RHD:q_cardiac_medication,Cardiac Medication,,,Question,Coded,,,
0ba82838-d367-5609-b493-c5c205358e75,,ACT-RHD:q_cardiovascular_disorders,Cardiovascular Disorders,,,Question,Coded,Ischemic heart disease; Stroke; 117399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 114212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
d80478b2-4ed2-5d93-a604-6b5b50dab441,,ACT-RHD:q_chronic_health_conditions,Chronic Health Conditions,,,Question,Coded,,,
2f09c161-28b1-57a7-9c82-6209d54ff6bf,,ACT-RHD:q_chronic_respiratory_diseases,Chronic Respiratory Diseases,,,Question,Coded,1295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 121375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
be9041b1-3948-5de0-a8b1-974e84b95715,,ACT-RHD:q_consultation_visit_date_consultation_visit,Date Updated (INR Monitoring),,"renamed from 'Date (Consultation Visit)' after this field moved to its own INR Monitoring form; fixed 2026-09-09",Question,Date,,,
b8514967-2259-5a4d-9ac5-b9319144b8dc,,ACT-RHD:q_date_added,Date Added,,,Question,Date,,,
5bcc7d12-b279-5955-815c-090a1f392071,,ACT-RHD:q_date_started,Date Started,,,Question,Date,,,
d75edc42-3213-5a06-9228-4e5735b9594b,,ACT-RHD:q_date_stopped,Date Stopped,,,Question,Date,,,
d4334e8e-4f95-5c57-a268-a4b690540e5d,true,ACT-RHD:q_date_updated,Date Updated,,"redundant with Date of Echocardiogram once split into its own form; fixed 2026-09-10",Question,Date,,,
c3edefd2-5777-5084-b01e-fd4ca0e40162,,ACT-RHD:q_date_of_review,Date of Review,,,Question,Date,,,
cdf25a40-410c-50f1-9f1e-b7972ddb5328,,ACT-RHD:q_diabetes_and_kidney_diseases,Diabetes and Kidney Diseases,,,Question,Coded,119481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 145438AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
fd250ab4-3a0b-50a9-90e0-f51bdd2e2221,,ACT-RHD:q_digestive_diseases,Digestive diseases,,,Question,Coded,Cirrhosis/liver disease; Gastroesophageal reflux; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
8879385e-d35e-50a3-a3d0-4333d95d4878,,ACT-RHD:q_consultation_visit_dosing_consultation_visit,Dosing (Consultation Visit),,,Question,Text,,,
04d77200-fa10-5c15-b58a-609bf8eadefb,,ACT-RHD:q_dosing_interval,Dosing Interval,,,Question,Coded,Once a day; Twice a day; Thrice a day; Four times a day; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
2a4dc900-e661-5271-8167-f09cde643a4f,true,ACT-RHD:q_echocardiogram_performed,Echocardiogram performed,,"redundant Yes/No gate, not present in live legacy app once Echocardiogram is its own form; fixed 2026-09-10",Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
3ad0f47b-d669-5767-b31d-ad64e0795807,true,ACT-RHD:q_electrocardigram,Electrocardigram,,,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
de49e440-3360-5350-b79d-c9cf45c5034c,,ACT-RHD:q_evidence,Evidence,,,Question,Coded,Patient reported reaction; Clinician reported reaction,,
a53ea77c-8671-58b0-8011-6bd7fecc8b01,,ACT-RHD:q_follow_up_appointments,Follow-up Appointments,,,Question,Coded,RHD clinic; Tertiary center,,
5743086e-867a-5e9b-aee6-ea3dd7245f30,,ACT-RHD:q_hematology_oncology,Hematology/Oncology,,,Question,Coded,Sickle cell disease; Malignancy/Cancer; HIV; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
797b76a2-0096-5435-bc55-047d29370f75,,ACT-RHD:q_inr,INR,,,Question,Text,,,
0778ce12-ddba-5e22-b5fd-92424e8747b4,,ACT-RHD:q_inr_target,INR Target,,,Question,Coded,1.5-2.5; 2.0-3.0; 2.5-3.5,,
06898c35-63d1-5b2c-8f61-d3c972b252f5,,ACT-RHD:q_if_no_why,Reasoning,,"renamed from 'If no, why?' to 'Reasoning' matching live legacy app label; confirmed 2026-09-10",Question,Text,,,
53d3cb00-b556-5842-b67f-32239176b746,,ACT-RHD:q_if_not_given_sap_why,"If not given SAP, why?",,,Question,Text,,,
90b7d412-1273-5814-bf02-2672e67c427e,,ACT-RHD:q_interval_history,Interval History,,,Question,Text,,,
ce93d393-1df5-587f-bf11-c373eac2ccf4,,ACT-RHD:q_interventional_recommendation_s,Interventional Recommendation(s),,,Question,Coded,Aortic valvuloplasty; Atrial septal defect closure; Atrial septal defect device closure; Atrial septostomy; Balloon atrial septostomy; Coarctation balloon/Stent angioplasty; Coronary artery stent; Diagnostic cardiac catheterization; Mitral balloon valvuloplasty; Mitral valvuloplasty; Pacemaker placement; Patent ductus arteriosus closure; Patent ductus arteriosus ligation; Patent ductus arteriosus stent; Pulmonary; Pulmonary artery balloon/Stent angioplasty; Pulmonary valvuloplasty; Ventricular septal defect closure; Anomalous pulmonary vein repair; Aortic coarctation repair; Aortic valve repair/replacement; Aortopulmonary shunt; Arterial switch; Atrial septal defect repair; Atrioventricular septal defect repair; Double outlet right ventricular repair; Fontan; Glenn; Mitral valve repair/replacement; Pericardiectomy; Pulmonary artery band placement; Pulmonary arteryplasty; Pulmonary valve repair/replacement; Subaortic stenosis repair; Tetralogy of fallot repair; Tricuspid valve repair; Truncus arteriosus repair; Vascular ring division; Ventricular septal defect repair; Other (with field to complete),,
3f82e07f-a760-54b1-94d1-84793cea53b3,,ACT-RHD:q_is_patient_suitable_for_bav,Is patient suitable for BAV?,,"label corrected to match live legacy app (added '?'); confirmed 2026-09-10",Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
58ec4c63-c67f-5d01-9b9f-a989793c19f8,,ACT-RHD:q_key_findings_recommendations,Key Findings/Recommendations,,,Question,Text,,,
1e8c4282-03cc-557b-ad63-002e29a10a83,,ACT-RHD:q_left_ventricular_function,Left Ventricular Function,,,Question,Coded,1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Mildly decreased; Moderately decreased; Severely decreased,,
d6ab05e2-1ece-5f8f-893d-74739aa66ce5,,ACT-RHD:q_mitral_regurgitation,Mitral Regurgitation,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
ed209fc3-0138-516c-a0bd-bcd3b2697a87,,ACT-RHD:q_mitral_stenosis_severity,Mitral stenosis severity,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
2f51b894-383c-53bb-9997-583e9761d132,,ACT-RHD:q_nyha_classification,NYHA Classification,,,Question,Coded,I; II; III; IV,,
ad0a85b5-52ac-51b4-8341-c496a7fb8b09,,ACT-RHD:q_neurological_metal_health,Neurological/Metal Health,,,Question,Coded,155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Chronic headache; 119537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 121543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Substance-use disorder; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
c88c97a8-0cd3-5f77-b7ea-73216bc03655,true,ACT-RHD:q_next_consultation,Next Consultation,,,Question,Coded,1 month; 3 months; 6 months; 12 months,,
3d8f718f-a8bb-5729-afe1-2f91f0a2155c,,ACT-RHD:q_other_allergies,Other Allergies,,,Question,Text,,,
ad533240-b503-5b82-a2fd-c7b69868d632,,ACT-RHD:q_other_findings_on_echocardiogram,Other Findings on Echocardiogram,,,Question,Text,,,
5cc3b707-b8ea-52ee-8e82-ea4de393a4a5,,ACT-RHD:q_penicillin_allergy,Penicillin Allergy,,,Question,Boolean,,,
f6025533-357f-5a1f-a5ed-a502ae346676,,ACT-RHD:q_place_of_review,Place of Review,,coded in spec but no answer set resolved -- using Text,Question,Text,,,
6984073a-d932-5c0b-b3a5-bc61fc474f3f,,ACT-RHD:q_provider,Provider,,,Question,Text,,,
8752bebf-302d-5367-8a72-e1d738412a67,,ACT-RHD:q_pulmonary_hypertension_severity,Pulmonary hypertension severity,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
a04d2268-a7de-589f-b4b6-92c47c13e342,,ACT-RHD:q_rhd_complications,RHD Complications,,,Question,Coded,Acute rheumatic fever; Acute heart failure; Atrial arrhythmia; Stroke; Infective endocarditis; 143050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 146166AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 113504AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 148203AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
62cb455e-c9f9-5a7a-b521-ac6c68f0fe5d,,ACT-RHD:q_allergies_reaction_allergies,Reaction (Allergies),,,Question,Coded,512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Trouble breathing; Lip swelling; Stomach upset; 142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
8200713e-8647-52f0-b93d-841e4e9687b7,,ACT-RHD:q_consultation_visit_reaction_consultation_visit,Reaction (Consultation Visit),,,Question,Coded,Rash (itchy or red); Hives (urticaria); Swelling (angioedema); 141600AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 122863AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Chest tightness; 140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Nausea or vomiting; 142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Dizziness or lightheadedness; 148888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Mouth or throat swelling; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
fa21e431-e64d-5493-b18c-9a1eaf7ee16a,,ACT-RHD:q_reason_stopped,Reason Stopped,,,Question,Coded,121689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 148888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; Provider stopped; Patient preference; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
5ce0cc9b-69e6-5c52-ac07-c713b2f3c466,,ACT-RHD:q_reason_for_rhd_clinic_appointment,Reason for RHD Clinic Appointment,,,Question,Coded,General medical review; Echocardiogram; ECG; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
55bc18e3-9b27-5f37-b471-af999591ea2a,,ACT-RHD:q_sbe_prophylaxis_indicated,SBE Prophylaxis Indicated,,,Question,Boolean,,,
668e0221-8b41-5669-9ad8-78e193d42494,,ACT-RHD:q_secondary_antibiotic_prophylaxis,Secondary Antibiotic Prophylaxis,,,Question,Coded,Q28 day BPG; Q21 day BPG; Q14 day BPG; Oral penicillin V; Oral sulfadiazine; Oral erythromycin; Oral clarithromycin; Oral azithromycin; 5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
d444bffc-c718-5295-a19e-8fb03dbdbfd7,,ACT-RHD:q_secondary_antibiotic_prophylaxis_data_entry,Secondary Antibiotic Prophylaxis Data Entry,,,Question,Coded,Continuous; Every 3 months; Every 6 months; Every 12 months,,
11117263-f71d-58e2-8363-d2e9b1dbddab,,ACT-RHD:q_secondary_antibiotic_prophylaxis_duration,Secondary Antibiotic Prophylaxis Duration,,,Question,Coded,1 year and reassess; 2 years and reassess; 5 years or until age 21; Whichever is longer; 10 years or until age 40; Lifetime,,
a23bb76b-e026-5e06-89b8-1014ec3cf5ae,true,ACT-RHD:q_summary_of_last_echo_dd_month_yyyy,Summary of Last Echo (DD-Month-YYYY),,"replaced by Date of Echocardiogram (real date field) matching live legacy app; fixed 2026-09-10",Question,Text,,,
911be530-9457-54be-8515-4bbcdb832ccb,,ACT-RHD:q_date_of_echocardiogram,Date of Echocardiogram,,"replaces Summary of Last Echo (DD-Month-YYYY) text field; matches live legacy app field name/type",Question,Date,,,
1a1f00f9-199c-5a40-832d-ca2df33681d2,,ACT-RHD:q_tricuspid_regurgitation,Tricuspid Regurgitation,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
a24bc09b-f274-5fc2-b529-412da0e11923,,ACT-RHD:q_tricuspid_stenosis,Tricuspid Stenosis,,,Question,Coded,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
7b8eda07-34b6-55f2-ab6c-1b295f41918b,,ACT-RHD:q_urgency,Urgency,,,Question,Coded,1 - within 1 week; 2 - within 1 month; 3 - within 3 months; 4 - within 6 months,,
2ea5b729-e552-5be5-a15d-1baa0f240312,,ACT-RHD:q_view_past_forms_entries,View Past Forms - # Entries,,coded in spec but no answer set resolved -- using Text,Question,Text,,,
e3576a93-7917-52ec-b2b7-46b7a27cc547,,ACT-RHD:q_wilkins_score,Wilkins Score,,"changed from Text to Coded (1-16) matching live legacy app and spec (row 75: 1 to 16); fixed 2026-09-10",Question,Coded,Wilkins Score 1; Wilkins Score 2; Wilkins Score 3; Wilkins Score 4; Wilkins Score 5; Wilkins Score 6; Wilkins Score 7; Wilkins Score 8; Wilkins Score 9; Wilkins Score 10; Wilkins Score 11; Wilkins Score 12; Wilkins Score 13; Wilkins Score 14; Wilkins Score 15; Wilkins Score 16,,
